API_Num,Surf_Lat,Surf_Lon,Shale_Thk,Base_Shale,Log_Bot,Gross_H,Net_Sand,Total_Por,Water_Dep,Domain
1.77E+13,28.750886,-89.715373,,7712.14,12122,4409.86,693.7,0.332,267,5
6.08E+13,27.791932,-90.3323463,,21467.54,23292.77,1825.23,287,0.203,2785,4
6.08E+13,28.835235,-88.59421,,6556.84,13237.11,6680.27,1043,0.335,2707,2
1.77E+13,28.666195,-92.530929,,3576.15,14649,11072.85,1707.73,0.356,117,7
6.08E+13,28.7842677,-88.2344688,,12755.74,14334.7,1578.96,243,0.313,4350,2
1.77E+13,28.041481,-92.213141,,2471.86,6530,4058.14,624.2,0.33,347,9
1.77E+13,29.627638,-93.086377,,5790.81,15905,10114.19,1555.6,0.247,31,15
6.08E+13,28.0376934,-89.1144573,,6093.98,15020.22,8926.24,1370,0.3,3927,2
1.77E+13,28.893036,-91.108674,,3499.36,12737,9237.64,1408,0.317,13,7
1.77E+13,29.059785,-89.471492,,6368.83,10419,4050.17,616.3,0.303,35,5
1.77E+13,28.680478,-89.387552,,4740.39,9218,4477.61,678.7,0.312,420,3
1.77E+13,28.512497,-92.451284,,3996.68,10159,6162.32,931,0.304,165,7
1.77E+13,28.074071,-92.698974,,7971.36,9549,1577.64,237.8,0.385,306,10
6.08E+13,28.095283,-90.3516261,,7947.1,12126.63,4179.53,628,0.348,800,4
1.77E+13,28.120385,-91.331433,,3620.02,6167,2546.98,377.3,0.347,345,9
6.08E+13,27.3313666,-89.8601368,,6521.43,18499.99,11978.56,1757,0.232,6171,11
1.77E+13,29.040985,-89.693346,,8020.7,10477.51,2456.81,359.8,0.298,112,5
6.08E+13,28.2843903,-89.2889754,,3091.75,19936,16844.25,2460,0.436,2710,2
1.77E+13,28.948613,-89.627328,,3503.41,5903,2399.59,349.2,0.327,180,5
1.77E+13,28.9707257,-92.022481,,8013.9,13465.27,5451.37,792,0.398,73,6
6.08E+13,27.9465856,-88.1545794,,14598.6,21366,6767.4,981,0.328,7933,11
6.08E+13,27.8832876,-90.9016943,,7761.85,12899.97,5138.12,744,0.315,1353,4
6.08E+13,27.9759009,-90.3057247,,3826.47,9327.36,5500.89,785,0.372,1765,4
6.08E+13,27.9751497,-88.2718377,,15481.64,19617.83,4136.19,586,0.184,7416,11
1.77E+13,29.003713,-89.731617,,4906.45,8018,3111.55,440.5,0.339,137,5
6.08E+13,27.0023375,-90.4366707,,7049.52,7999,949.48,134,0.435,6490,11
6.08E+13,27.8832736,-90.9017013,,7786.95,12006.64,4219.69,594,0.284,1353,4
6.08E+13,27.9465856,-88.1545794,,16003.84,20328,4324.16,608,0.353,7933,11
1.77E+13,28.416894,-91.969329,,3774.33,9649,5874.67,824.1,0.221,188,9
1.77E+13,28.174915,-91.365602,,4392.71,5135.14,742.43,104.1,0.35,309,9
6.08E+13,26.7383276,-90.492209,,20471.98,23847.38,3375.4,472,0.319,8143,11
4.27E+13,27.613284,-96.924067,,4465.8,12920,8454.2,1177.3,0.263,92,17
4.27E+13,28.809297,-95.106483,,6539.03,13890,7350.97,1019.98,0.29,64,17
4.27E+13,27.607381,-96.622365,,3176.6,8455.59,5278.99,724.8,0.288,174,17
6.08E+13,26.8038564,-90.3290795,,15039.33,18321,3281.67,448,0.393,7997,11
1.77E+13,28.813608,-92.602496,,6886.31,13262,6375.69,870,0.296,105,7
6.08E+13,27.7398771,-91.1738178,,2763.51,12962.49,10198.98,1387,0.313,1690,4
